Input1,Input2,Output,MAE,MSE
0.000000,1.000000,0.000000,0.001966,0.001105
1.000000,0.000000,1.000000,0.001732,0.000861
1.000000,1.000000,1.000000,0.001833,0.000968
0.000000,0.000000,1.000000,0.001898,0.001042
0.000000,1.000000,0.000000,0.001936,0.001087
1.000000,0.000000,1.000000,0.001709,0.000850
1.000000,1.000000,1.000000,0.001807,0.000953
0.000000,0.000000,1.000000,0.001873,0.001028
0.000000,1.000000,0.000000,0.001908,0.001070
1.000000,0.000000,1.000000,0.001685,0.000838
1.000000,1.000000,1.000000,0.001781,0.000939
0.000000,0.000000,1.000000,0.001848,0.001014
0.000000,1.000000,0.000000,0.001880,0.001053
1.000000,0.000000,1.000000,0.001663,0.000827
1.000000,1.000000,1.000000,0.001756,0.000925
0.000000,0.000000,1.000000,0.001823,0.001001
0.000000,1.000000,0.000000,0.001853,0.001037
1.000000,0.000000,1.000000,0.001641,0.000816
1.000000,1.000000,1.000000,0.001732,0.000912
0.000000,0.000000,1.000000,0.001800,0.000988
0.000000,1.000000,0.000000,0.001827,0.001021
1.000000,0.000000,1.000000,0.001619,0.000805
1.000000,1.000000,1.000000,0.001708,0.000899
0.000000,0.000000,1.000000,0.001776,0.000975
0.000000,1.000000,0.000000,0.001801,0.001006
1.000000,0.000000,1.000000,0.001599,0.000795
1.000000,1.000000,1.000000,0.001685,0.000886
0.000000,0.000000,1.000000,0.001754,0.000963
0.000000,1.000000,0.000000,0.001776,0.000991
1.000000,0.000000,1.000000,0.001578,0.000785
1.000000,1.000000,1.000000,0.001663,0.000873
0.000000,0.000000,1.000000,0.001732,0.000951
0.000000,1.000000,0.000000,0.001752,0.000976
1.000000,0.000000,1.000000,0.001558,0.000775
1.000000,1.000000,1.000000,0.001641,0.000861
0.000000,0.000000,1.000000,0.001710,0.000939
0.000000,1.000000,0.000000,0.001729,0.000962
1.000000,0.000000,1.000000,0.001539,0.000765
1.000000,1.000000,1.000000,0.001619,0.000850
0.000000,0.000000,1.000000,0.001690,0.000928
0.000000,1.000000,0.000000,0.001706,0.000948
1.000000,0.000000,1.000000,0.001520,0.000756
1.000000,1.000000,1.000000,0.001598,0.000838
0.000000,0.000000,1.000000,0.001669,0.000917
0.000000,1.000000,0.000000,0.001683,0.000935
1.000000,0.000000,1.000000,0.001502,0.000747
1.000000,1.000000,1.000000,0.001578,0.000827
0.000000,0.000000,1.000000,0.001649,0.000906
0.000000,1.000000,0.000000,0.001661,0.000922
1.000000,0.000000,1.000000,0.001484,0.000738
1.000000,1.000000,1.000000,0.001558,0.000816
0.000000,0.000000,1.000000,0.001630,0.000895
0.000000,1.000000,0.000000,0.001640,0.000909
1.000000,0.000000,1.000000,0.001466,0.000729
1.000000,1.000000,1.000000,0.001539,0.000805
0.000000,0.000000,1.000000,0.001611,0.000885
0.000000,1.000000,0.000000,0.001619,0.000897
1.000000,0.000000,1.000000,0.001449,0.000720
1.000000,1.000000,1.000000,0.001520,0.000795
0.000000,0.000000,1.000000,0.001592,0.000874
0.000000,1.000000,0.000000,0.001599,0.000885
1.000000,0.000000,1.000000,0.001433,0.000712
1.000000,1.000000,1.000000,0.001502,0.000785
0.000000,0.000000,1.000000,0.001574,0.000864
0.000000,1.000000,0.000000,0.001579,0.000873
1.000000,0.000000,1.000000,0.001416,0.000704
1.000000,1.000000,1.000000,0.001484,0.000775
0.000000,0.000000,1.000000,0.001556,0.000855
0.000000,1.000000,0.000000,0.001560,0.000861
1.000000,0.000000,1.000000,0.001400,0.000696
1.000000,1.000000,1.000000,0.001466,0.000765
0.000000,0.000000,1.000000,0.001539,0.000845
0.000000,1.000000,0.000000,0.001541,0.000850
1.000000,0.000000,1.000000,0.001385,0.000688
1.000000,1.000000,1.000000,0.001449,0.000756
0.000000,0.000000,1.000000,0.001522,0.000836
0.000000,1.000000,0.000000,0.001522,0.000839
1.000000,0.000000,1.000000,0.001369,0.000681
1.000000,1.000000,1.000000,0.001432,0.000747
0.000000,0.000000,1.000000,0.001505,0.000827
0.000000,1.000000,0.000000,0.001504,0.000828
1.000000,0.000000,1.000000,0.001355,0.000673
1.000000,1.000000,1.000000,0.001416,0.000738
0.000000,0.000000,1.000000,0.001489,0.000818
0.000000,1.000000,0.000000,0.001487,0.000818
1.000000,0.000000,1.000000,0.001340,0.000666
1.000000,1.000000,1.000000,0.001400,0.000729
0.000000,0.000000,1.000000,0.001473,0.000809
0.000000,1.000000,0.000000,0.001469,0.000808
1.000000,0.000000,1.000000,0.001326,0.000659
1.000000,1.000000,1.000000,0.001384,0.000721
0.000000,0.000000,1.000000,0.001457,0.000800
